Nombre del artista,Título de la canción,Número de canción,Título del álbum,Fecha de lanzamiento,Nombre del compositor,Nombre del productor musical,Código ISRC,Sello discográfico,Compañía editorial,Entidad de gestión de derechos,Género/s musical/es,Número de reproducciones,Top 5,Contacto (campo comentarios)
Heather Chapman,Could room anyone least according.,4,Country already major.,2003-07-15,Marcus Hunt,Justin Perez,978-0-07-826593-8,Sony Music,Warner/Chappell Music,BMI,Salsa,859121,False,parnold@example.org
Leslie Tucker,Cold foot small.,3,Necessary race actually.,2008-03-26,John Smith,Natalie Johnson,978-0-7565-4354-9,Warner Music Group,Sony/ATV Music Publishing,BMI,Reggeton,103824,False,cortiz@example.org
Charles Rojas,Then campaign probably discover hope.,3,Economy after.,2008-07-06,Mrs. Kristin Brown DDS,Deborah Berry,978-0-641-40402-3,Universal Music Group,Kobalt Music Group,ASCAP,Jazz,930262,False,baustin@example.org
Joseph Garcia,Sound minute.,9,Challenge his I.,2000-01-20,John Banks,Christina White,978-0-07-480584-8,EMI,Warner/Chappell Music,BMI,Hip Hop,704965,False,wmanning@example.net
Anita Barker,Line especially listen.,2,Soldier protect.,2012-11-06,Jamie Mueller,Elizabeth Lewis,978-1-4315-0828-0,Sony Music,Warner/Chappell Music,BMI,Pop,159975,False,staceyabbott@example.org
Michelle Martinez,Day they.,11,Power rich.,2002-10-11,Amanda Terry,Russell Moyer,978-0-509-07291-3,Warner Music Group,Universal Music Publishing Group,ASCAP,Merengue,463456,False,michelle58@example.net
Lindsay Abbott,Want trade political contain.,3,Order across.,2001-06-21,Stephen Thomas,Amy Garcia,978-1-07-068057-6,Universal Music Group,Warner/Chappell Music,SESAC,Classical,143934,False,michael96@example.org
John Burnett,Such right design.,8,Green learn.,2012-03-19,Eric Holden,Elizabeth Aguilar,978-1-5441-4437-5,Universal Music Group,Kobalt Music Group,SESAC,Jazz,219239,False,tonipetersen@example.com
Eileen Lambert,Ten president send former.,2,Commercial customer expert.,2013-08-09,Julia Ross,John Williams,978-0-446-28912-2,Warner Music Group,Universal Music Publishing Group,BMI,Jazz,199301,False,mollycarson@example.org
Mr. Jeffrey Miller,Which two southern.,9,Letter decision.,2003-08-29,Jamie Russell,Christina Harrison,978-0-439-94187-7,EMI,Sony/ATV Music Publishing,SESAC,Country,154622,False,smithamanda@example.com
Christina Shepherd,Statement begin.,12,Box arm.,2003-03-11,Barry Watkins,Mr. Richard Ellison,978-1-62358-601-0,Warner Music Group,Sony/ATV Music Publishing,ASCAP,Vallenato,373357,False,colleen02@example.org
Christopher Strong,Simple base.,12,Relate prevent thus.,2014-02-02,Taylor Palmer,James Payne,978-0-9991600-5-3,Universal Music Group,Sony/ATV Music Publishing,SESAC,Electronic,61350,False,kmoore@example.net
Jessica Newman MD,Various seat else.,9,Source Mr phone health.,2021-01-19,Jennifer Fleming,Darrell King,978-1-86774-624-9,EMI,Sony/ATV Music Publishing,ASCAP,Hip Hop,207336,False,hurstlance@example.net
Keith Townsend,Could after.,8,Relate crime.,2006-10-21,Sarah Crawford MD,Brian Castro MD,978-0-9537335-7-6,Sony Music,Sony/ATV Music Publishing,SESAC,Merengue,282794,False,cervantesmatthew@example.net
Garrett Mack,Away thought budget.,4,Such show.,2019-01-17,Allison Chapman,Danny Barnes,978-0-218-45076-7,EMI,Sony/ATV Music Publishing,ASCAP,Country,467242,False,dcooper@example.net
Amanda Freeman,Situation first them talk.,7,Government player.,2010-03-07,Jordan Conner,Jessica Macdonald,978-0-667-08330-1,Universal Music Group,Universal Music Publishing Group,SESAC,Salsa,661009,False,markmorris@example.net
Lisa Benson,With PM himself.,10,Under card successful.,2008-06-01,Deborah Mason,Nichole Clark,978-1-268-76380-7,Sony Music,Kobalt Music Group,SESAC,Country,668516,False,feliciashaw@example.org
Mark Caldwell,Beautiful work then hotel pretty.,11,Yet dream along month.,2021-07-21,Allison Gray,Jared Anderson,978-0-290-18289-1,Warner Music Group,Warner/Chappell Music,BMI,Classical,243788,False,leonard77@example.org
Richard Tucker,Interest key commercial.,3,Spend real.,2011-11-29,Shelley Yates,Lisa Daniels,978-0-9784594-6-8,Universal Music Group,Universal Music Publishing Group,ASCAP,Pop,426299,False,xwilliams@example.net
Jeremiah Monroe,Push face relate money management.,2,Work represent.,2021-05-29,Rhonda Graham,David Sanders,978-1-71017-446-5,Warner Music Group,Kobalt Music Group,BMI,Classical,284434,False,sarahsimpson@example.org
William Griffin,Dream drop artist born remain.,4,Argue strong generation.,2020-08-12,David Miranda,Michael Baxter,978-1-83168-726-4,Warner Music Group,Sony/ATV Music Publishing,ASCAP,Salsa,803659,False,garciarobert@example.org
Ashley Harrell,Authority ground.,11,If safe all.,2017-04-08,Mark Johnson,Christine Austin,978-1-370-92334-2,EMI,Warner/Chappell Music,BMI,Country,346800,False,lisa76@example.net
Kristen Sherman,Cell training.,5,Adult bar able professor.,2020-03-26,William Evans,Dr. Erin Johnson,978-0-931866-22-7,EMI,Sony/ATV Music Publishing,SESAC,Salsa,832952,False,heatherwilson@example.net
Jennifer Martin,Science exactly evening deal raise.,8,Day.,2019-05-05,Joshua Bailey,Jennifer Hodges,978-1-77476-046-8,Warner Music Group,Warner/Chappell Music,ASCAP,Classical,470967,False,richard18@example.org
Raymond Simmons,Western size.,8,Performance door shoulder.,2021-01-21,Sharon Hernandez,Brandon Hernandez,978-0-86252-151-6,EMI,Kobalt Music Group,SESAC,Country,306540,False,ucoffey@example.net
Peter Bowers,Produce prove three past among.,3,Total raise together.,2003-12-01,Amber Watson,Paul Nunez DVM,978-1-135-55877-2,Sony Music,Kobalt Music Group,SESAC,Reggeton,898923,False,gomezkrystal@example.com
Samantha Glenn,Hotel detail leg.,1,Then indeed.,2022-06-02,Jacqueline Olson,Rachael Hall,978-0-89912-754-5,EMI,Universal Music Publishing Group,ASCAP,Reggeton,553445,False,rsmith@example.com
Justin Middleton DVM,Dark member natural product current.,2,Character onto create.,2006-01-25,Misty Garza MD,Daniel Rodriguez,978-1-72579-690-4,EMI,Universal Music Publishing Group,SESAC,Salsa,785761,False,denise01@example.com
Tiffany Fisher,Notice remember edge.,5,Region throw effort.,2011-05-11,Anna Freeman,Cheryl Rodriguez,978-0-86909-525-6,Warner Music Group,Universal Music Publishing Group,ASCAP,Hip Hop,306120,False,davidwatson@example.net
Craig Kaufman,Run listen create store.,11,Seven region nothing.,2008-01-28,Jacqueline Bradshaw,Matthew Hines,978-1-5334-0683-5,EMI,Sony/ATV Music Publishing,BMI,Hip Hop,928639,False,rdavenport@example.org
Ryan Graves,Run matter community question born.,11,Without only that.,2017-01-06,David Wolf,Julia Kelly,978-1-80463-657-2,Sony Music,Sony/ATV Music Publishing,ASCAP,Electronic,196333,False,brandon96@example.com
Monica Morgan,Address business if.,1,True within before.,2021-03-13,Devin Wallace,Elizabeth Anderson,978-1-71943-183-5,Warner Music Group,Sony/ATV Music Publishing,SESAC,Reggeton,684590,False,benderchristopher@example.com
Megan Clark,Time million center various tree.,1,Main probably.,2007-09-24,Mrs. Christy Ward,Rebecca Hernandez,978-0-10-978672-2,Universal Music Group,Sony/ATV Music Publishing,SESAC,Reggeton,976942,False,karen41@example.org
Andrea Finley,Key entire identify.,4,Season.,2007-02-17,Matthew Elliott,Alison Miller,978-1-74281-479-7,Universal Music Group,Kobalt Music Group,SESAC,Pop,4534,False,davidkramer@example.com
Kimberly Mora,Purpose part agree have.,11,Final perform expect.,2010-01-18,Michael Olson,Stephanie Hayes,978-1-65765-796-0,Warner Music Group,Sony/ATV Music Publishing,ASCAP,Pop,127184,False,josefoster@example.net
Michael Allen,Meet stand sort leave.,10,Career soldier turn.,2024-05-12,Kaylee Hamilton,Melissa Chapman,978-1-9778-7016-2,Sony Music,Sony/ATV Music Publishing,BMI,Merengue,295942,False,marcus73@example.net
Shelby Ingram,Help to.,4,Discussion month.,2022-11-03,Rachael Wilson,Aaron Greene,978-1-69693-372-8,Universal Music Group,Universal Music Publishing Group,BMI,Reggae,311407,False,kenneth14@example.net
Alex Martinez,Her year more.,12,Medical none.,2021-12-23,Michelle Munoz,Victoria Bonilla,978-0-660-96808-7,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Electronic,422084,False,cynthiabradley@example.com
Marc Willis,Although skill but step audience.,10,Son clearly against.,2014-09-07,Darlene Greene,Sandra Cooper,978-1-267-08378-4,EMI,Kobalt Music Group,BMI,Pop,692093,False,patriciawang@example.com
Thomas Stevens,Town figure join.,5,Owner bill.,2009-04-17,Lauren Lane,Aaron Brown,978-0-474-83743-2,Universal Music Group,Sony/ATV Music Publishing,BMI,Vallenato,152990,False,steven28@example.com
Maurice Garcia,Artist enter do in.,4,Care family.,2010-05-02,Troy Guzman,Laura Ryan,978-1-906965-20-4,EMI,Warner/Chappell Music,SESAC,Country,837669,False,briannadecker@example.com
Kimberly Scott,Bit Congress attorney available.,11,Manager.,2019-02-18,Carly Nelson,Nathan Lopez,978-0-505-29756-3,Universal Music Group,Sony/ATV Music Publishing,BMI,Vallenato,369346,False,bstanton@example.org
Allison Gordon,Major anything all.,10,Wrong firm.,2015-04-12,Nicole Mckinney,Casey Hutchinson,978-0-9676908-2-7,EMI,Sony/ATV Music Publishing,BMI,Reggae,359159,False,angelawilson@example.com
Joshua Moore,Though center company gun.,9,Total those.,2016-08-20,Daniel Williams,Dawn Chang,978-1-81857-315-3,Universal Music Group,Kobalt Music Group,ASCAP,Pop,631826,False,gonzalezdiana@example.com
Clayton Henderson,Mention prepare whole report.,9,May kitchen.,2020-12-15,Jesse Owens,Adam Cook,978-1-57828-165-7,Warner Music Group,Universal Music Publishing Group,SESAC,Hip Hop,521967,False,underwoodnicole@example.com
Judith Cox,Significant top even.,5,Itself across back.,2008-12-10,Mary Garza,Frederick Mcgrath,978-0-16-542330-2,Warner Music Group,Sony/ATV Music Publishing,BMI,Rock,985604,False,melissahogan@example.org
Donna Jones,Quickly test.,12,Image with Mrs.,2007-09-15,Joshua White,Heidi Flynn,978-0-15-447098-0,Sony Music,Sony/ATV Music Publishing,ASCAP,Rock,204825,False,williamjenkins@example.net
Roger Romero,Traditional red above white.,8,Buy staff family.,2012-04-10,Ashley Mendez,Amanda Butler,978-0-650-28070-0,EMI,Kobalt Music Group,SESAC,Reggeton,609614,False,wandatodd@example.com
Lisa Olsen,Especially decide ability.,9,Process common.,2013-11-09,Stephanie Mcdaniel,Thomas Perez,978-0-8422-6632-1,Sony Music,Kobalt Music Group,ASCAP,Rock,3851,False,jonathannewton@example.com
Anna George,Consumer half responsibility fight.,3,Onto.,2011-09-29,Kathy Baker,Paul Garza,978-0-536-41053-5,Warner Music Group,Sony/ATV Music Publishing,SESAC,Electronic,895905,False,unelson@example.net
Gary Goodwin,Why election nature doctor.,3,Follow party doctor.,2016-12-01,Robert Dunlap,Aaron Horton,978-1-83350-523-8,Universal Music Group,Universal Music Publishing Group,BMI,Rock,131364,False,bailey84@example.net
Jackie Davies,Pass start hour effect.,5,Control although somebody let.,2015-12-12,Elizabeth Ramirez,Mr. Christopher Vargas,978-0-657-25688-3,Sony Music,Warner/Chappell Music,SESAC,Jazz,89039,False,carla34@example.net
Kimberly Daniel,Over sense none choice.,2,Include peace.,2000-08-05,Jacob Montgomery,Steven Beard,978-0-7656-0412-5,Warner Music Group,Kobalt Music Group,SESAC,Reggae,136861,False,kathy23@example.org
Edward Luna,Thank business need answer television.,2,Another its.,2016-08-01,John Rodriguez,Brian Coleman,978-0-7694-1104-0,Universal Music Group,Warner/Chappell Music,BMI,Reggeton,639157,False,meganritter@example.net
Shelby Hayes,Player its finally white station.,10,Situation yet.,2024-01-02,Joshua Anderson,Brenda Medina,978-1-08-938079-5,Warner Music Group,Sony/ATV Music Publishing,SESAC,Classical,343152,False,julia53@example.com
Jeremy Bates,Process watch area.,11,Race cover.,2004-09-03,Scott Spence,Allison Powers PhD,978-0-523-07925-7,Sony Music,Sony/ATV Music Publishing,BMI,Rock,804874,False,richard35@example.com
Timothy Dalton,Brother remain rich.,2,Window surface.,2020-06-09,Dennis Phillips,Cheryl Stephens,978-1-4878-2560-7,EMI,Universal Music Publishing Group,BMI,Electronic,224222,False,curtishuynh@example.net
Christopher Mccarthy,Start site increase director ground.,12,Part young.,2004-07-26,Christopher Williams,Michael Olson,978-1-917384-72-8,Universal Music Group,Warner/Chappell Music,ASCAP,Electronic,653606,False,barnesrhonda@example.net
Mr. William Williams DDS,Investment region deal prepare.,8,Less nation really.,2002-08-08,William Sanchez,Jacob Rose,978-1-9855-1679-3,Sony Music,Kobalt Music Group,SESAC,Classical,504022,False,teresa00@example.net
Amy Cook,Return simply lose difficult.,5,Father network.,2022-11-22,Mark Baker,Eric Reyes,978-1-74848-009-5,EMI,Universal Music Publishing Group,BMI,Reggae,670082,False,barnettmaria@example.org
George Doyle,Citizen fear.,5,Reach good together.,2021-10-01,Carol Malone,Jessica Sosa,978-0-306-33778-9,Warner Music Group,Kobalt Music Group,ASCAP,Reggae,500550,False,mtorres@example.com
Grace King,Song feeling spend guess.,6,Fly toward.,2015-10-20,Jack Griffin,Brent Randolph,978-0-510-48492-7,Sony Music,Warner/Chappell Music,SESAC,Jazz,970082,False,virginiaparker@example.com
Christopher Valenzuela,Whether relate thus.,4,Move good.,2010-02-16,Tanner Armstrong,Jason Barrett,978-1-66402-012-2,Warner Music Group,Warner/Chappell Music,BMI,Country,38912,False,kathygonzales@example.net
Jeremy Walker,Certainly month note south character.,5,Simply dark.,2017-11-15,Amanda Pearson,Kristina Hill,978-0-558-46201-7,Sony Music,Warner/Chappell Music,ASCAP,Vallenato,581539,False,nicoleperez@example.org
Miss Tiffany Miles,After look safe past.,11,Cup fly tend.,2013-09-27,Elizabeth Martin,Jerry Schneider,978-0-424-66120-9,Sony Music,Kobalt Music Group,ASCAP,Country,649658,False,vanessa62@example.org
Courtney Sherman,Miss should politics successful.,7,Oil individual employee.,2023-10-17,Amy Perez,David Campbell,978-1-4310-1271-8,Warner Music Group,Kobalt Music Group,ASCAP,Jazz,45089,False,jwatson@example.org
Jerry Bailey,Enjoy newspaper fund.,11,Statement.,2004-07-06,Alexandra Hawkins,Courtney Wilson,978-1-00-150285-4,EMI,Sony/ATV Music Publishing,ASCAP,Country,225060,False,vjacobs@example.com
Beth Underwood,Short recently consumer picture time.,6,Idea trade.,2016-05-17,Barbara Richardson,Michelle Wiley,978-0-948294-88-4,EMI,Warner/Chappell Music,BMI,Reggae,506274,False,thomasallen@example.com
Christine Watkins,Represent wall week whole try.,3,Free.,2005-07-07,Marc Norris,Gloria Carpenter,978-0-19-363895-2,Universal Music Group,Warner/Chappell Music,ASCAP,Country,553349,False,hebertemily@example.net
Jared Smith,List somebody look think.,8,International deep always.,2007-06-08,Dale Lee,Michael Keith,978-1-9795-4365-1,EMI,Kobalt Music Group,BMI,Country,287117,False,pbradley@example.org
Denise Kennedy,Lay avoid.,2,However price push.,2006-06-16,Michael Watson,Tracy Robertson,978-0-415-69717-0,EMI,Universal Music Publishing Group,ASCAP,Merengue,689677,False,armstrongkimberly@example.net
Stacy Brown,Race nation hit each technology.,3,Head cup.,2014-04-08,Melissa Ellis,George Pratt,978-1-890999-57-5,EMI,Sony/ATV Music Publishing,SESAC,Country,570579,False,stephensonstephanie@example.net
Ashley Shepherd,Rich war field bill.,6,Big dark it so.,2002-03-01,Jessica Lopez,Jessica Montgomery,978-1-72385-809-3,EMI,Kobalt Music Group,SESAC,Reggae,137236,False,shannonjanet@example.com
John Cox,Situation miss so.,10,Best phone.,2004-02-08,Jordan Davila,Allison Cole,978-1-217-64534-5,Universal Music Group,Universal Music Publishing Group,SESAC,Country,179032,False,aedwards@example.net
Daniel Hart,Conference accept most.,8,Feel oil.,2007-03-22,Bradley Cannon,Eric Lynn,978-0-16-037534-7,Universal Music Group,Warner/Chappell Music,BMI,Salsa,204417,False,rroberts@example.com
Travis Hickman,Your grow eat the any.,5,By check such probably.,2004-03-16,Cristina Jarvis,Tabitha Patton,978-1-931887-17-5,Universal Music Group,Warner/Chappell Music,BMI,Merengue,974182,False,erika27@example.com
Charles Banks,They population get.,5,Firm class.,2017-03-04,Randy Oneal,Wesley Anderson,978-0-374-85998-5,Universal Music Group,Universal Music Publishing Group,BMI,Reggae,965283,False,michelleadams@example.net
Natalie Goodwin,Board speech.,6,Situation get.,2005-11-23,Carrie Carr,Christine Trevino,978-1-55001-018-3,EMI,Warner/Chappell Music,ASCAP,Reggae,695566,False,kelly24@example.net
Dr. John Stone DVM,Door enter treatment.,11,Leader manager who how.,2023-04-12,Nicholas Reed,Troy Sims,978-0-503-92729-5,Warner Music Group,Kobalt Music Group,BMI,Country,329258,False,robinsonpatrick@example.net
Carla Blanchard,Over role might.,9,Hit ask how.,2011-01-22,Lisa Jones,Carl Gomez,978-1-00-321407-6,Sony Music,Warner/Chappell Music,ASCAP,Country,631552,False,peteroneill@example.org
Courtney Walker,Score learn hot under.,9,Hope list season.,2018-12-24,Terry Wilson,Scott Castaneda,978-0-7496-9368-8,Sony Music,Kobalt Music Group,SESAC,Electronic,395305,False,omoore@example.net
Russell Oliver,There top trouble second word.,7,Mind thus wall.,2004-10-08,Todd Hopkins,Tina Martin,978-0-563-46535-5,Warner Music Group,Sony/ATV Music Publishing,BMI,Reggae,624167,False,gibsonsydney@example.org
Erin Burton,Memory day produce.,6,However blue low.,2023-03-25,Christian Friedman,Michael Romero,978-0-379-08410-8,Sony Music,Universal Music Publishing Group,BMI,Reggeton,708146,False,cosborne@example.com
Sean Griffith,Full type happy.,2,End night.,2006-05-22,Christopher Hammond,Joseph Carlson,978-0-7969-4868-7,Sony Music,Universal Music Publishing Group,ASCAP,Vallenato,118829,False,qflynn@example.net
Natasha Wright,Alone check past.,9,Every remain.,2018-04-04,Joe Avila,Melissa Davis,978-1-4269-1616-8,EMI,Universal Music Publishing Group,SESAC,Rock,62857,False,jillbrennan@example.org
Mrs. Amanda Brown,Pass music beyond around.,5,Church source increase.,2006-02-25,Joseph Robinson,Briana Vasquez,978-0-918339-08-9,EMI,Sony/ATV Music Publishing,ASCAP,Salsa,844608,False,lauren22@example.org
James Rice Jr.,Stay check sure herself PM.,3,Network physical south.,2009-03-09,Roy Hensley,William Phillips,978-1-376-71610-8,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Country,120193,False,fgordon@example.net
Melissa Robinson,Minute agency.,8,Town.,2004-01-03,Justin Brown,Carolyn Lee,978-1-70440-042-6,Warner Music Group,Universal Music Publishing Group,ASCAP,Merengue,997992,True,henry32@example.net
Cesar Goodwin,Threat appear table.,2,True position.,2022-08-06,Joseph Flores,George King,978-1-924578-92-9,Universal Music Group,Kobalt Music Group,ASCAP,Electronic,344978,False,richard29@example.com
Valerie Christensen,Indicate form strategy step appear.,9,Course father.,2016-03-31,Sabrina Bell,Jorge Johnston,978-1-294-09599-6,EMI,Warner/Chappell Music,ASCAP,Electronic,980223,False,fergusonmary@example.net
